Inventory of Operating Generators as of October 2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Nameplate Energy Capacity (MWh),DC Net Capacity (MW),Planned Derate Year,Planned Derate Month,Planned Derate of Summer Capacity (MW),Planned Uprate Year,Planned Uprate Month,Planned Uprate of Summer Capacity (MW),Latitude,Longitude
63560,"Sand Point Generating, LLC",1,Sand Point,Map,Map,AK,Aleutians East,,Electric Utility,1,,0.9,0.4,0.4,Petroleum Liquids,DFO,IC,12,2000, , ,(SB) Standby/Backup: available for service but not normally used, , , , , , , , ,55.339722,-160.4972
63560,"Sand Point Generating, LLC",1,Sand Point,Map,Map,AK,Aleutians East,,Electric Utility,2,,0.9,0.3,0.3,Petroleum Liquids,DFO,IC,12,2000, , ,(OP) Operating, , , , , , , , ,55.339722,-160.4972
63560,"Sand Point Generating, LLC",1,Sand Point,Map,Map,AK,Aleutians East,,Electric Utility,3,,0.5,0.3,0.3,Petroleum Liquids,DFO,IC,12,2010, , ,(OP) Operating, , , , , , , , ,55.339722,-160.4972
63560,"Sand Point Generating, LLC",1,Sand Point,Map,Map,AK,Aleutians East,,Electric Utility,5.1,,0.4,0.3,0.3,Petroleum Liquids,DFO,IC,2,2023, , ,(OP) Operating, , , , , , , , ,55.339722,-160.4972
63560,"Sand Point Generating, LLC",1,Sand Point,Map,Map,AK,Aleutians East,,Electric Utility,WT1,,0.5,0.1,0.1,Onshore Wind Turbine,WND,WT,10,2011, , ,(OS) Out of service and NOT expected to return to service in next calendar year, , , , , , , , ,55.339722,-160.4972
63560,"Sand Point Generating, LLC",1,Sand Point,Map,Map,AK,Aleutians East,,Electric Utility,WT2,,0.5,0.3,0.3,Onshore Wind Turbine,WND,WT,10,2011, , ,(OS) Out of service and NOT expected to return to service in next calendar year, , , , , , , , ,55.339722,-160.4972
195,Alabama Power Co,2,Bankhead Dam,Map,Map,AL,Tuscaloosa,SOCO,Electric Utility,1,,53.9,53,53,Conventional Hydroelectric,WAT,HY,7,1963, , ,(OP) Operating, , , , , , , , ,33.458665,-87.35682
